C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/01/10,14:27:20,001736483240144,MONTHLY_ARCHIVE,001736483240144
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2024/12/01 00:25:00",1,SA1,20241130245,0,104.44,0,104.44,0,0,"2024/12/01 00:20:04",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0,0,0,1,1,0,FIRM,104.44,0.38,0.23,0.23,7.99,0.1,0.38,0,1,212064.2588,1353.49385,352.99789,416,17234.65139,520.78018,762.21139,289.68,5890.10328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.60588,60.11205
D,DISPATCH,PRICE,5,"2024/12/01 00:25:00",1,TAS1,20241130245,0,89.40473,0,89.40473,0,0,"2024/12/01 00:20:04",1.11,1.11,0,3,3,0,0.38,0.38,0,8.66,8.66,0,11.47853,11.47853,0,0.38,0.38,0,0.38,0.38,0,4.98,4.98,0,FIRM,89.40473,1.11,3,0.38,8.66,11.47853,0.38,0.38,4.98,267255.54297,53077.69867,2484.6326,471.6,26545.94527,1622.47028,735.60481,193.95602,9851.94893,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,7559.25362,14.8
D,DISPATCH,PRICE,5,"2024/12/01 00:25:00",1,VIC1,20241130245,0,90.02996,0,90.02996,0,0,"2024/12/01 00:20:04",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0,0,0,1,1,0,FIRM,90.02996,0.38,0.23,0.23,7.99,0.1,0.38,0,1,247342.00643,1353.49385,352.99789,416,17234.65139,520.78018,762.21139,289.68,5890.10328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.60588,60.11205
D,DISPATCH,PRICE,5,"2024/12/01 00:30:00",1,NSW1,20241130246,0,99.05536,0,99.05536,0,0,"2024/12/01 00:25:04",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,6,6,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,99.05536,0.39,0.23,0.23,6,0.1,0.38,0.1,2,637038.40572,1353.49385,352.99789,416,17224.35139,520.78018,762.44139,289.68,5891.10328,NOT_OCD,NOT_MII,7.3,7.3,0,0.01,0.01,0,7.3,0.01,8500.96588,60.12205
D,DISPATCH,PRICE,5,"2024/12/01 00:30:00",1,QLD1,20241130246,0,116.46217,0,116.46217,0,0,"2024/12/01 00:25:04",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,6,6,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,116.46217,0.39,0.23,0.23,6,0.1,0.38,0.1,2,252735.18164,1329.17185,348.57789,409.53,17107.75139,520.78018,762.44139,289.68,5891.10328,NOT_OCD,NOT_MII,7.3,7.3,0,0.01,0.01,0,7.3,0.01,8500.96588,60.12205
D,DISPATCH,PRICE,5,"2024/12/01 00:30:00",1,SA1,20241130246,0,104.44,0,104.44,0,0,"2024/12/01 00:25:04",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,6,6,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,104.44,0.39,0.23,0.23,6,0.1,0.38,0.1,2,212006.52696,1353.49385,352.99789,416,17224.35139,520.78018,762.44139,289.68,5891.10328,NOT_OCD,NOT_MII,7.3,7.3,0,0.01,0.01,0,7.3,0.01,8500.96588,60.12205
D,DISPATCH,PRICE,5,"2024/12/01 00:30:00",1,TAS1,20241130246,0,81.77338,0,81.77338,0,0,"2024/12/01 00:25:04",1.11,1.11,0,0.38,0.38,0,0.38,0.38,0,8.66,8.66,0,19.35343,19.35343,0,0.38,0.38,0,0.38,0.38,0,4.98,4.98,0,FIRM,81.77338,1.11,0.38,0.38,8.66,19.35343,0.38,0.38,4.98,267194.5689,53077.80867,2484.6326,471.75,26546.11527,1641.72371,735.83481,194.23602,9853.54893,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,7558.31362,14.8
D,DISPATCH,PRICE,5,"2024/12/01 00:30:00",1,VIC1,20241130246,0,83.65989,0,83.65989,0,0,"2024/12/01 00:25:04",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,6,6,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,83.65989,0.39,0.23,0.23,6,0.1,0.38,0.1,2,247275.67632,1353.49385,352.99789,416,17224.35139,520.78018,762.44139,289.68,5891.10328,NOT_OCD,NOT_MII,7.3,7.3,0,0.01,0.01,0,7.3,0.01,8500.96588,60.12205
D,DISPATCH,PRICE,5,"2024/12/01 00:35:00",1,NSW1,20241130247,0,104.89,0,104.89,0,0,"2024/12/01 00:30:04",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,5.99,5.99,0,0.1,0.1,0,0.38,0.38,0,0,0,0,3.99,3.99,0,FIRM,104.89,0.39,0.23,0.23,5.99,0.1,0.38,0,3.99,636989.1456,1353.49385,352.99789,416,17197.26387,520.74018,762.44139,289.67,5894.09328,NOT_OCD,NOT_MII,15,15,0,0.01,0.01,0,15,0.01,8508.64588,60.13205
D,DISPATCH,PRICE,5,"2024/12/01 00:35:00",1,QLD1,20241130247,0,112.9285,0,112.9285,0,0,"2024/12/01 00:30:04",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,5.99,5.99,0,0.1,0.1,0,0.38,0.38,0,0,0,0,3.99,3.99,0,FIRM,112.9285,0.39,0.23,0.23,5.99,0.1,0.38,0,3.99,252704.97237,1329.17185,348.57789,409.53,17080.66387,520.74018,762.44139,289.67,5894.09328,NOT_OCD,NOT_MII,15,15,0,0.01,0.01,0,15,0.01,8508.64588,60.13205
