settlementdate,regionid,rrp,totaldemand,netinterchange,demandforecast
2025-01-01 01:20:00,SA1,141.56525,1381.77,-683.4,-5
2025-01-01 01:20:00,TAS1,120.28,979.75,-115.55,-2
2025-01-01 01:20:00,VIC1,119.39421,4068.73,548.0,-21
2025-01-01 01:25:00,NSW1,113.44395,6794.64,673.23,-25
2025-01-01 01:25:00,QLD1,122.95,6264.83,-346.75,-10
2025-01-01 01:25:00,SA1,133.43728,1352.41,-651.23,-6
2025-01-01 01:25:00,TAS1,117.19715,980.39,-152.6,-1
2025-01-01 01:25:00,VIC1,115.48474,4049.82,543.11,-21
2025-01-01 01:30:00,NSW1,109.74,6745.76,697.62,-25
2025-01-01 01:30:00,QLD1,120.38136,6301.08,-404.75,-9
2025-01-01 01:30:00,SA1,127.7232,1345.97,-639.47,-7
2025-01-01 01:30:00,TAS1,112.74417,977.77,-150.84,-1
2025-01-01 01:30:00,VIC1,110.8431,4000.47,566.21,-21
2025-01-01 01:35:00,NSW1,109.69,6720.28,700.03,-24
2025-01-01 01:35:00,QLD1,120.22353,6264.52,-410.96,-9
2025-01-01 01:35:00,SA1,126.60751,1333.69,-609.84,-8
2025-01-01 01:35:00,TAS1,112.19486,979.16,-149.38,-1
2025-01-01 01:35:00,VIC1,110.69667,4002.96,533.83,-20
2025-01-01 01:40:00,NSW1,104.4999,6712.49,590.91,-25
2025-01-01 01:40:00,QLD1,111.65674,6169.67,-296.44,-11
2025-01-01 01:40:00,SA1,121.6224,1339.52,-610.94,-7
2025-01-01 01:40:00,TAS1,107.88445,975.34,-143.64,-1
2025-01-01 01:40:00,VIC1,106.30272,3999.07,514.26,-20
2025-01-01 01:45:00,NSW1,104.5,6690.95,613.03,-26
2025-01-01 01:45:00,QLD1,112.29053,6176.49,-309.11,-15
2025-01-01 01:45:00,SA1,121.35633,1325.64,-608.63,-8
2025-01-01 01:45:00,TAS1,107.75551,979.58,-146.21,-1
2025-01-01 01:45:00,VIC1,106.17626,3997.75,504.76,-19
2025-01-01 01:50:00,NSW1,103.24174,6652.11,557.5,-26
2025-01-01 01:50:00,QLD1,110.82993,6120.73,-311.59,-17
2025-01-01 01:50:00,SA1,119.17032,1334.25,-611.26,-8
2025-01-01 01:50:00,TAS1,105.24431,973.69,-140.97,-1
2025-01-01 01:50:00,VIC1,104.15217,3950.42,560.46,-18
2025-01-01 01:55:00,NSW1,103.94915,6571.64,558.46,-25
2025-01-01 01:55:00,QLD1,110.83,6125.83,-292.25,-22
2025-01-01 01:55:00,SA1,119.83468,1327.28,-610.61,-7
2025-01-01 01:55:00,TAS1,106.31118,976.26,-140.51,-1
2025-01-01 01:55:00,VIC1,104.80788,3961.03,536.93,-18
2025-01-01 02:00:00,NSW1,104.5,6590.09,489.0,-26
2025-01-01 02:00:00,QLD1,110.83,6075.98,-271.69,-23
2025-01-01 02:00:00,SA1,119.43421,1318.02,-619.58,-7
2025-01-01 02:00:00,TAS1,105.41538,971.98,-128.68,0
2025-01-01 02:00:00,VIC1,104.47586,3922.86,581.98,-17
2025-01-01 02:05:00,NSW1,104.5,6536.66,474.58,-23
2025-01-01 02:05:00,QLD1,110.83,6037.42,-271.71,-24
2025-01-01 02:05:00,SA1,119.35486,1317.73,-613.51,-6
2025-01-01 02:05:00,TAS1,105.30792,973.79,-124.49,-1
2025-01-01 02:05:00,VIC1,104.43893,3917.03,584.68,-17
2025-01-01 02:10:00,NSW1,105.41535,6568.22,417.46,-18
2025-01-01 02:10:00,QLD1,110.83,6013.74,-225.39,-27
2025-01-01 02:10:00,SA1,120.88709,1317.66,-624.55,-6
2025-01-01 02:10:00,TAS1,106.32262,976.9,-127.55,0
2025-01-01 02:10:00,VIC1,105.37026,3883.1,608.95,-17
2025-01-01 02:15:00,NSW1,104.5,6488.58,415.18,-18
2025-01-01 02:15:00,QLD1,110.83,6021.87,-271.95,-24
2025-01-01 02:15:00,SA1,117.48498,1300.92,-610.22,-6
2025-01-01 02:15:00,TAS1,103.56332,971.97,-119.19,0
2025-01-01 02:15:00,VIC1,102.76831,3838.28,635.61,-16
2025-01-01 02:20:00,NSW1,104.5,6459.04,421.39,-19
2025-01-01 02:20:00,QLD1,110.83,6026.63,-272.16,-21
2025-01-01 02:20:00,SA1,118.23012,1292.24,-607.91,-7
2025-01-01 02:20:00,TAS1,104.37187,974.33,-117.13,0
2025-01-01 02:20:00,VIC1,103.51613,3869.16,624.16,-16
2025-01-01 02:25:00,NSW1,104.4999,6508.42,301.41,-18
2025-01-01 02:25:00,QLD1,109.64827,5913.03,-218.09,-22
2025-01-01 02:25:00,SA1,115.85026,1276.43,-591.12,-7
2025-01-01 02:25:00,TAS1,102.3769,971.82,-116.26,0
2025-01-01 02:25:00,VIC1,101.8166,3830.64,667.53,-15
2025-01-01 02:30:00,NSW1,104.4999,6439.9,308.76,-17
2025-01-01 02:30:00,QLD1,110.83,5996.76,-272.44,-20
2025-01-01 02:30:00,SA1,114.8896,1266.74,-588.99,-8
2025-01-01 02:30:00,TAS1,99.42798,968.1,-104.65,0
2025-01-01 02:30:00,VIC1,100.98738,3806.88,704.86,-14
2025-01-01 02:35:00,NSW1,104.5,6407.11,268.81,-17
2025-01-01 02:35:00,QLD1,110.83,5940.64,-272.59,-18
2025-01-01 02:35:00,SA1,113.5067,1250.48,-569.4,-8
2025-01-01 02:35:00,TAS1,87.79468,969.96,-103.79,0
2025-01-01 02:35:00,VIC1,100.13052,3769.81,722.78,-14
2025-01-01 02:40:00,NSW1,104.5,6403.53,260.39,-15
2025-01-01 02:40:00,QLD1,110.83,5939.04,-273.01,-15
2025-01-01 02:40:00,SA1,112.24809,1241.53,-535.57,-8
2025-01-01 02:40:00,TAS1,84.4017,963.95,-101.77,0
2025-01-01 02:40:00,VIC1,100.07648,3787.87,691.44,-12
2025-01-01 02:45:00,NSW1,104.16032,6382.74,200.25,-16
2025-01-01 02:45:00,QLD1,109.84588,5928.56,-251.01,-14
2025-01-01 02:45:00,SA1,110.73027,1242.36,-521.85,-8
2025-01-01 02:45:00,TAS1,83.13017,956.75,-99.51,0
2025-01-01 02:45:00,VIC1,99.0,3765.55,712.58,-11
2025-01-01 02:50:00,NSW1,103.39668,6368.9,200.44,-15
2025-01-01 02:50:00,QLD1,108.32103,5885.91,-228.6,-11
2025-01-01 02:50:00,SA1,110.66581,1233.47,-518.31,-7
2025-01-01 02:50:00,TAS1,83.4706,954.25,-98.98,0
2025-01-01 02:50:00,VIC1,99.0,3775.7,682.76,-10
2025-01-01 02:55:00,NSW1,103.36434,6350.32,206.24,-15
2025-01-01 02:55:00,QLD1,108.24292,5861.34,-217.44,-10
2025-01-01 02:55:00,SA1,111.11291,1237.9,-536.91,-6
2025-01-01 02:55:00,TAS1,83.46422,958.48,-98.27,0
2025-01-01 02:55:00,VIC1,99.0,3739.82,684.84,-10
2025-01-01 03:00:00,NSW1,102.58093,6297.55,244.06,-15
2025-01-01 03:00:00,QLD1,107.3631,5865.59,-224.71,-11
2025-01-01 03:00:00,SA1,111.06789,1236.73,-526.34,-5
2025-01-01 03:00:00,TAS1,82.31785,959.46,-96.05,0
2025-01-01 03:00:00,VIC1,99.0,3752.65,639.0,-9
2025-01-01 03:05:00,NSW1,104.24862,6356.19,169.76,-12
2025-01-01 03:05:00,QLD1,109.11327,5841.7,-215.75,-10
2025-01-01 03:05:00,SA1,111.07089,1231.34,-527.06,-4
2025-01-01 03:05:00,TAS1,84.15996,972.13,-101.0,0
2025-01-01 03:05:00,VIC1,99.0,3725.24,712.53,-8
2025-01-01 03:10:00,NSW1,102.54439,6297.22,196.34,-10
2025-01-01 03:10:00,QLD1,105.92589,5797.82,-171.43,-10
2025-01-01 03:10:00,SA1,111.51593,1240.87,-541.05,-3
2025-01-01 03:10:00,TAS1,83.12592,967.07,-99.73,0
2025-01-01 03:10:00,VIC1,99.0,3720.96,651.26,-7
2025-01-01 03:15:00,NSW1,105.11788,6348.26,192.9,-10
2025-01-01 03:15:00,QLD1,110.83007,5919.18,-247.01,-8
2025-01-01 03:15:00,SA1,112.35614,1248.69,-545.38,-2
2025-01-01 03:15:00,TAS1,83.65606,971.04,-99.04,0
2025-01-01 03:15:00,VIC1,99.82421,3738.48,741.53,-6
2025-01-01 03:20:00,NSW1,102.02,6275.24,190.21,-9
2025-01-01 03:20:00,QLD1,105.38174,5790.9,-170.18,-5
2025-01-01 03:20:00,SA1,109.53933,1220.11,-501.1,-2
2025-01-01 03:20:00,TAS1,82.25369,965.58,-96.93,0
2025-01-01 03:20:00,VIC1,98.35416,3733.99,608.04,-5
2025-01-01 03:25:00,NSW1,103.6051,6240.06,221.12,-8
2025-01-01 03:25:00,QLD1,109.00973,5841.79,-259.61,-8
2025-01-01 03:25:00,SA1,109.7279,1203.62,-487.2,-2
2025-01-01 03:25:00,TAS1,82.24185,949.45,-94.26,0
2025-01-01 03:25:00,VIC1,99.0,3787.79,654.48,-5
2025-01-01 03:30:00,NSW1,104.35396,6266.13,181.98,-7
2025-01-01 03:30:00,QLD1,109.80053,5830.87,-244.1,-5
2025-01-01 03:30:00,SA1,110.2421,1209.55,-499.75,-2
2025-01-01 03:30:00,TAS1,81.84444,962.29,-96.05,0
2025-01-01 03:30:00,VIC1,99.0,3730.21,694.87,-3
2025-01-01 03:35:00,NSW1,103.60848,6229.95,214.63,-5
2025-01-01 03:35:00,QLD1,108.2457,5783.46,-220.31,-2
2025-01-01 03:35:00,SA1,109.82153,1197.39,-475.51,-3
2025-01-01 03:35:00,TAS1,84.25008,962.99,-115.76,0
2025-01-01 03:35:00,VIC1,99.0,3722.16,627.07,-3
2025-01-01 03:40:00,NSW1,105.74,6315.79,182.88,1
2025-01-01 03:40:00,QLD1,110.53455,5785.08,-221.2,-5
2025-01-01 03:40:00,SA1,112.63888,1226.1,-508.87,-3
2025-01-01 03:40:00,TAS1,84.70322,966.92,-116.83,0
2025-01-01 03:40:00,VIC1,101.05574,3745.7,699.63,-2
2025-01-01 03:45:00,NSW1,104.5,6278.14,210.13,0
2025-01-01 03:45:00,QLD1,110.04518,5860.26,-270.26,-3
2025-01-01 03:45:00,SA1,110.39517,1191.99,-504.26,-3
2025-01-01 03:45:00,TAS1,87.65312,977.42,-118.9,0
2025-01-01 03:45:00,VIC1,99.04277,3708.85,722.48,-1
2025-01-01 03:50:00,NSW1,103.68746,6280.26,143.51,2
2025-01-01 03:50:00,QLD1,107.69725,5764.94,-179.62,-3
2025-01-01 03:50:00,SA1,110.10071,1189.14,-500.56,-3
2025-01-01 03:50:00,TAS1,84.31041,975.42,-117.86,0
2025-01-01 03:50:00,VIC1,99.0,3734.06,686.83,-1
2025-01-01 03:55:00,NSW1,102.85428,6242.9,157.8,2
2025-01-01 03:55:00,QLD1,105.44548,5728.64,-136.24,-6
2025-01-01 03:55:00,SA1,110.49963,1192.12,-516.04,-2
2025-01-01 03:55:00,TAS1,84.24582,965.14,-114.15,0
2025-01-01 03:55:00,VIC1,99.0,3731.38,638.62,-1
2025-01-01 04:00:00,NSW1,102.82331,6229.77,170.58,2
2025-01-01 04:00:00,QLD1,106.08738,5756.55,-152.97,-7
2025-01-01 04:00:00,SA1,110.89981,1199.25,-528.86,-2
2025-01-01 04:00:00,TAS1,83.34623,966.28,-113.05,0
2025-01-01 04:00:00,VIC1,99.0,3733.96,656.62,-1
2025-01-01 04:05:00,NSW1,104.50005,6268.1,123.0,2
2025-01-01 04:05:00,QLD1,105.82988,5711.1,-43.13,-9
2025-01-01 04:05:00,SA1,114.27945,1198.41,-563.07,-2
2025-01-01 04:05:00,TAS1,86.37132,980.88,-115.12,0
2025-01-01 04:05:00,VIC1,101.38098,3750.01,630.13,0
2025-01-01 04:10:00,NSW1,104.5,6310.74,104.3,4
2025-01-01 04:10:00,QLD1,105.89319,5726.18,-47.82,-10
2025-01-01 04:10:00,SA1,113.70879,1184.91,-544.27,-2
2025-01-01 04:10:00,TAS1,85.39607,977.31,-114.6,0
2025-01-01 04:10:00,VIC1,101.30213,3763.55,632.14,1
2025-01-01 04:15:00,NSW1,102.92459,6302.06,56.78,3
2025-01-01 04:15:00,QLD1,103.71309,5754.28,-28.31,-8
2025-01-01 04:15:00,SA1,110.75385,1183.41,-536.49,-1
2025-01-01 04:15:00,TAS1,84.87833,977.62,-114.16,1
2025-01-01 04:15:00,VIC1,99.0,3756.89,651.81,2
2025-01-01 04:20:00,NSW1,102.96964,6293.7,36.46,1
2025-01-01 04:20:00,QLD1,103.11793,5749.02,-3.24,-4
2025-01-01 04:20:00,SA1,110.72116,1174.52,-535.73,-1
2025-01-01 04:20:00,TAS1,84.85933,975.53,-114.14,1
2025-01-01 04:20:00,VIC1,99.0,3741.92,645.66,1
2025-01-01 04:25:00,NSW1,102.18092,6258.69,55.75,1
2025-01-01 04:25:00,QLD1,102.35409,5776.89,7.9,-5
2025-01-01 04:25:00,SA1,111.40141,1171.81,-557.7,-1
2025-01-01 04:25:00,TAS1,84.91475,978.83,-111.19,1
2025-01-01 04:25:00,VIC1,99.0,3771.72,635.52,2
2025-01-01 04:30:00,NSW1,102.0201,6273.29,25.25,0
2025-01-01 04:30:00,QLD1,100.87179,5728.87,63.8,-3
2025-01-01 04:30:00,SA1,111.02048,1167.81,-543.47,-1
2025-01-01 04:30:00,TAS1,84.82292,967.09,-105.0,1
2025-01-01 04:30:00,VIC1,99.0,3765.92,587.19,3
2025-01-01 04:35:00,NSW1,101.46401,6239.32,48.09,1
2025-01-01 04:35:00,QLD1,100.96743,5764.73,59.03,-2
2025-01-01 04:35:00,SA1,110.21957,1158.07,-505.15,-1
2025-01-01 04:35:00,TAS1,84.87833,975.54,-108.86,1
2025-01-01 04:35:00,VIC1,99.0,3774.36,529.44,3
2025-01-01 04:40:00,NSW1,102.0201,6271.31,1.96,0
2025-01-01 04:40:00,QLD1,100.87985,5732.24,87.37,-1
2025-01-01 04:40:00,SA1,110.68095,1176.51,-536.92,-1
2025-01-01 04:40:00,TAS1,84.8625,985.78,-110.56,1
2025-01-01 04:40:00,VIC1,99.0,3784.91,585.65,3
2025-01-01 04:45:00,NSW1,101.33705,6196.45,1.9,-1
2025-01-01 04:45:00,QLD1,100.14523,5732.13,88.98,-2
2025-01-01 04:45:00,SA1,110.72561,1177.83,-538.43,-1
2025-01-01 04:45:00,TAS1,83.84778,967.19,-103.71,1
2025-01-01 04:45:00,VIC1,99.0,3746.57,579.11,4
2025-01-01 04:50:00,NSW1,102.1309,6225.34,48.61,-6
2025-01-01 04:50:00,QLD1,101.64996,5785.71,34.27,1
2025-01-01 04:50:00,SA1,111.08035,1178.11,-550.77,-1
2025-01-01 04:50:00,TAS1,84.83083,979.7,-104.23,0
2025-01-01 04:50:00,VIC1,99.0,3765.71,601.12,3
2025-01-01 04:55:00,NSW1,100.53935,6152.12,35.68,-7
2025-01-01 04:55:00,QLD1,99.95,5745.23,41.09,0
2025-01-01 04:55:00,SA1,109.33078,1174.6,-545.43,-1
2025-01-01 04:55:00,TAS1,83.68795,972.56,-102.45,0
2025-01-01 04:55:00,VIC1,97.44853,3744.6,599.66,3
2025-01-01 05:00:00,NSW1,102.0201,6159.93,-2.13,-10
2025-01-01 05:00:00,QLD1,100.70583,5706.67,74.42,-3
2025-01-01 05:00:00,SA1,111.39104,1181.51,-561.71,-1
2025-01-01 05:00:00,TAS1,83.85087,970.53,-102.37,0
2025-01-01 05:00:00,VIC1,98.92124,3746.72,623.03,0
2025-01-01 05:05:00,NSW1,102.1821,6120.1,73.28,-12
2025-01-01 05:05:00,QLD1,102.76489,5745.4,-7.69,-5
2025-01-01 05:05:00,SA1,111.3904,1168.73,-558.83,0
2025-01-01 05:05:00,TAS1,84.91215,972.2,-121.55,0
2025-01-01 05:05:00,VIC1,99.0,3746.05,645.26,-1
2025-01-01 05:10:00,NSW1,102.93644,6155.79,57.41,-12
2025-01-01 05:10:00,QLD1,103.57373,5750.78,-16.68,-3
2025-01-01 05:10:00,SA1,111.44708,1175.11,-564.22,0
2025-01-01 05:10:00,TAS1,84.90106,981.66,-119.21,0
2025-01-01 05:10:00,VIC1,99.0,3735.9,675.0,-1
2025-01-01 05:15:00,NSW1,102.0201,6132.18,69.03,-13
2025-01-01 05:15:00,QLD1,103.26765,5756.71,-44.11,-4
2025-01-01 05:15:00,SA1,111.32329,1183.37,-595.2,1
2025-01-01 05:15:00,TAS1,84.73715,970.55,-116.31,0
2025-01-01 05:15:00,VIC1,98.16807,3714.9,724.1,-2
2025-01-01 05:20:00,NSW1,102.0201,6085.73,37.1,-15
2025-01-01 05:20:00,QLD1,103.22975,5761.69,-56.33,-7
2025-01-01 05:20:00,SA1,109.61909,1178.82,-564.38,1
2025-01-01 05:20:00,TAS1,83.72859,957.65,-113.87,0
2025-01-01 05:20:00,VIC1,97.36075,3721.57,732.61,-4
2025-01-01 05:25:00,NSW1,99.27686,6091.29,-48.16,-16
2025-01-01 05:25:00,QLD1,99.75,5711.33,-20.88,-11
2025-01-01 05:25:00,SA1,105.44,1158.3,-555.43,-1
2025-01-01 05:25:00,TAS1,83.37847,961.64,-113.82,0
2025-01-01 05:25:00,VIC1,93.88022,3713.06,774.06,-6
2025-01-01 05:30:00,NSW1,89.92454,6051.63,-43.77,-16
2025-01-01 05:30:00,QLD1,89.73006,5682.32,-4.18,-13
2025-01-01 05:30:00,SA1,96.68909,1151.36,-580.02,-2
2025-01-01 05:30:00,TAS1,82.76135,984.86,-117.58,0
2025-01-01 05:30:00,VIC1,85.67722,3689.71,783.19,-8
2025-01-01 05:35:00,NSW1,87.5,6036.71,-59.79,-16
2025-01-01 05:35:00,QLD1,87.29631,5682.22,3.32,-17
2025-01-01 05:35:00,SA1,93.48416,1158.82,-579.21,-2
2025-01-01 05:35:00,TAS1,82.27953,977.35,-118.95,0
2025-01-01 05:35:00,VIC1,82.76594,3664.64,793.18,-10
2025-01-01 05:40:00,NSW1,87.5,6026.5,-27.88,-15
2025-01-01 05:40:00,QLD1,86.63,5591.67,29.61,-14
2025-01-01 05:40:00,SA1,95.8593,1178.84,-609.57,-2
2025-01-01 05:40:00,TAS1,82.46942,979.9,-114.77,0
2025-01-01 05:40:00,VIC1,84.18898,3654.44,763.22,-11
2025-01-01 05:45:00,NSW1,80.23864,5964.48,113.16,-15
2025-01-01 05:45:00,QLD1,79.86396,5570.67,6.83,-15
2025-01-01 05:45:00,SA1,89.64858,1179.2,-628.38,-3
2025-01-01 05:45:00,TAS1,82.06,973.24,-276.04,0
2025-01-01 05:45:00,VIC1,78.42882,3618.89,828.83,-12
2025-01-01 05:50:00,NSW1,76.00002,5891.3,300.41,-17
2025-01-01 05:50:00,QLD1,77.73,5573.23,-141.46,-16
2025-01-01 05:50:00,SA1,84.87529,1165.94,-597.79,-4
2025-01-01 05:50:00,TAS1,79.47056,962.31,-356.48,0
2025-01-01 05:50:00,VIC1,74.81187,3630.04,839.73,-14
2025-01-01 05:55:00,NSW1,54.77482,5874.2,231.91,-19
2025-01-01 05:55:00,QLD1,55.75,5497.18,-119.02,-16
2025-01-01 05:55:00,SA1,60.04184,1153.35,-553.08,-6
2025-01-01 05:55:00,TAS1,56.79109,959.25,-362.73,0
2025-01-01 05:55:00,VIC1,53.4619,3594.48,842.01,-16
2025-01-01 06:00:00,NSW1,55.18537,5869.68,170.3,-19
2025-01-01 06:00:00,QLD1,55.75,5427.17,-85.52,-18
2025-01-01 06:00:00,SA1,59.73788,1139.59,-528.8,-7
2025-01-01 06:00:00,TAS1,56.86765,961.95,-365.41,0
2025-01-01 06:00:00,VIC1,53.40015,3592.56,845.56,-18
2025-01-01 06:05:00,NSW1,19.99886,5761.32,204.48,-19
2025-01-01 06:05:00,QLD1,20.5267,5339.09,-198.44,-22
2025-01-01 06:05:00,SA1,21.31423,1127.38,-499.52,-8
2025-01-01 06:05:00,TAS1,20.33392,967.52,-340.39,0
2025-01-01 06:05:00,VIC1,19.19,3585.92,869.64,-19
2025-01-01 06:10:00,NSW1,43.73262,5829.94,161.38,-17
2025-01-01 06:10:00,QLD1,44.95,5405.7,-202.71,-22
2025-01-01 06:10:00,SA1,46.39801,1150.31,-521.52,-9
2025-01-01 06:10:00,TAS1,44.10807,964.69,-350.37,0
2025-01-01 06:10:00,VIC1,41.6267,3609.37,954.68,-19
2025-01-01 06:15:00,NSW1,12.52423,5793.9,272.36,-12
2025-01-01 06:15:00,QLD1,13.01534,5333.0,-241.84,-18
2025-01-01 06:15:00,SA1,13.21895,1106.49,-461.77,-11
2025-01-01 06:15:00,TAS1,12.74727,962.51,-353.65,0
2025-01-01 06:15:00,VIC1,12.0,3587.13,817.19,-18
2025-01-01 06:20:00,NSW1,-14.99996,5708.57,342.71,-11
2025-01-01 06:20:00,QLD1,-15.38238,5319.3,-198.77,-20
2025-01-01 06:20:00,SA1,-15.75216,1089.1,-430.79,-12
2025-01-01 06:20:00,TAS1,-15.57355,958.62,-344.45,0
2025-01-01 06:20:00,VIC1,-14.69743,3562.96,663.93,-20
2025-01-01 06:25:00,NSW1,-18.54777,5720.83,374.94,-13
2025-01-01 06:25:00,QLD1,-18.89,5271.31,-162.76,-19
2025-01-01 06:25:00,SA1,-19.28771,1078.97,-382.77,-13
2025-01-01 06:25:00,TAS1,-18.70538,972.06,-361.16,0
2025-01-01 06:25:00,VIC1,-18.30546,3528.54,568.83,-23
2025-01-01 06:30:00,NSW1,-18.68421,5728.44,426.23,-11
2025-01-01 06:30:00,QLD1,-18.89,5213.17,-126.21,-20
2025-01-01 06:30:00,SA1,-19.63714,1086.06,-368.6,-15
2025-01-01 06:30:00,TAS1,-19.25513,975.12,-398.53,0
2025-01-01 06:30:00,VIC1,-18.71055,3494.5,505.0,-26
2025-01-01 06:35:00,NSW1,-18.92335,5771.57,321.57,-7
2025-01-01 06:35:00,QLD1,-18.89,5174.9,-55.84,-20
2025-01-01 06:35:00,SA1,-19.51611,1048.79,-317.71,-16
2025-01-01 06:35:00,TAS1,-17.86815,964.39,-448.69,0
2025-01-01 06:35:00,VIC1,-18.78805,3435.34,539.76,-29
2025-01-01 06:40:00,NSW1,-18.76942,5711.33,278.38,-7
2025-01-01 06:40:00,QLD1,-18.89,5186.21,-84.96,-17
2025-01-01 06:40:00,SA1,-19.00267,1042.72,-276.5,-16
2025-01-01 06:40:00,TAS1,-17.22992,955.21,-443.31,0
2025-01-01 06:40:00,VIC1,-18.4844,3410.02,564.27,-30
